individual_sender,Email counts
stephen.marquard,29
louis,24
zqian,195
rjlowe,90
cwen,158
gsilver,28
wagnermr,44
antranig,18
gopal.ramasammycook,25
david.horwitz,67
ray,32
mmmay,161
stuart.freeman,17
tnguyen,6
chmaurer,111
aaronz,110
ian,96
csev,19
jimeng,93
josrodri,28
knoop,5
bkirschn,27
dlhaines,84
hu2,7
sgithens,43
arwhyte,27
gbhatnag,3
gjthomas,44
a.fish,14
ajpoland,48
lance,8
ssmail,5
jlrenfro,1
nuno,28
zach.thomas,17
ktsao,12
ostermmg,17
john.ellis,8
jleasia,2
ggolden,8
thoppaymallika,1
kimsooil,14
bahollad,4
jzaremba,9
mbreuker,9
colin.clark,1
